EXP,NAME,TYPE,SUBT,RARITY,COLOR,COLORS,MANA,CMC,Legendary,P,T,OBSERVACION,FOIL,,TOTAL,10404,,,SUBTIPO,1491,% SD,,RAREZA,10390,%,,COLOR,10404,%,,COLORS,1744,%,% SD,,MV,10394,%,,Crea/MV,4779,%,% SD,,,
40K,"Celestine, the Living Saint ",Creature,,Rare,White,,4W,5,Legendary,3,4,,,,Tipo,Cantidad,% SD,,Subtipo,Cantidad,% SD,,Rarity,Cantidad,% SD,,Color,Cantidad,% SD,,Colors,Cantidad,% Colors,% SD,,Costo,Cantidad,% SD,,Costo,Cantidad,% Creature,% SD,,,
40K,Defenders of Humanity ,Enchantment,,Rare,White,,X2W,3,,,,,,,Artifact,487,4.68,,Arcane,37,0.356,,Mythic,554,5.332,,White,1545,14.850,,White/Blue,159,9.117,1.5282583621684,,Land,188,1.809,,0,4,0.0837,0.0384,,,
40K,For the Emperor!,Sorcery,,Rare,White,,3W,4,,,,,,,Creature,4783,45.97,,Artifact,93,0.894,,Rare,3739,35.987,,Blue,1711,16.446,,Blue/Black,172,9.862,1.65321030372933,,Sin Coste,10,0.096,,1,181,3.7874,1.7397,,,
40K,Grey Knight Paragon,Creature,,Uncommon,White,,4W,5,,4,4,,,,Enchantment,1157,11.12,,Aura,489,4.700,,Uncommon,3235,31.136,,Black,1774,17.051,,Black/Red,165,9.461,1.58592848904268,,0,15,0.144,,2,791,16.5516,7.6028,,,
40K,Space Marine Devastator,Creature,,Rare,White,,3W,4,,3,3,,,,Instant,2018,19.40,,Cartouche,4,0.038,,Common,2862,27.546,,Red,1546,14.860,,Red/Green,133,7.626,1.27835447904652,,1,828,7.966,,3,1092,22.8500,10.4960,,,
40K,Triumph of Saint Katherine ,Creature,,Rare,White,,4W,5,,5,5,,,,Land,188,1.81,,Class,9,0.087,,,,,,Green,1305,12.543,,Green/White,128,7.339,1.23029603998462,,2,2108,20.281,,4,1100,23.0174,10.5729,,,
40K,Zephyrim,Creature,,Rare,White,,3W,4,,3,3,Prueba,,,Planeswalker,19,0.18,,Clue,2,0.019,,,,,,Gold,1747,16.792,,White/Black,142,8.142,1.36485966935794,,3,2484,23.898,,5,799,16.7190,7.6797,,,
40K,Genestealer Locus ,Creature,,Uncommon,Blue,,3U,4,,3,3,,,,Sorcery,1730,16.63,,Contraption ,0,0.000,,,,,,Artifact,518,4.979,,Blue/Red,128,7.339,1.23029603998462,,4,2037,19.598,,6,469,9.8138,4.5079,,5093,PAR
40K,Heralds of Tzeentch,Creature,,Uncommon,Blue,,4U,5,,3,3,,,,Battle,22,0.21,,Curse,14,0.135,,,,,,Colorless,258,2.480,,Black/Green,139,7.970,1.3360246059208,,5,1430,13.758,,7,220,4.6035,2.1146,,5123,IMPAR
40K,Lord of Change,Creature,,Rare,Blue,,6U,7,,6,6,,,,,,,,Desert,8,0.077,,,,,,,,,,Red/White,112,6.422,1.07650903498654,,6,768,7.389,,8,84,1.7577,0.8074,,188,LANDS
40K,Sister of Silence ,Creature,,Rare,Blue,,4U,5,,3,3,,,,,,,,Enchantment,54,0.519,,,,,,,,,,Green/Blue,140,8.028,1.34563629373318,,7,335,3.223,,9,23,0.4813,0.2211,,,
40K,Arco-Flagellant,Creature,,Rare,Black,,2B,3,,3,1,,,,Otra,219,,,Equipment,7,0.067,,,,,,Con Multicolor,Cantidad,% SD,,Green/White/Blue,39,2.236,0.374855824682814,,8,127,1.222,,10,11,0.2302,0.1057,,10404,
40K,Biotransference ,Enchantment,,Rare,Black,,2BB,4,,,,,,,Idioma,22,,,Food,6,0.058,,,,,,White,2286,21.972,,White/Blue/Black,35,2.007,0.336409073433295,,9,42,0.404,,11,2,0.0418,0.0192,,,
40K,Blight Grenade,Sorcery,,Rare,Black,,4B,5,,,,,,,Cotrina,2,,,Lesson,19,0.183,,,,,,Blue,2514,24.164,,Blue/Black/Red,44,2.523,0.422914263744713,,10,23,0.221,,12,3,0.0628,0.0288,,,
40K,Great Unclean One,Creature,,Rare,Black,,4B,5,,4,5,,,,Falta,0,,,Rune,5,0.048,,,,,,Black,2599,24.981,,Black/Red/Green,40,2.294,0.384467512495194,,11,3,0.029,,13,0,0.0000,0.0000,,,
40K,Hexmark Destroyer,Creature,Artifact,Uncommon,Black,,4BB,6,,6,6,,,,Team Viñas,0,,,Saga,66,0.634,,,,,,Red,2295,22.059,,Red/Green/White,41,2.351,0.394079200307574,,12,5,0.048,,14,0,0.0000,0.0000,,,
40K,Lokhust Heavy Destroyer,Creature,Artifact,Rare,Black,,1BBB,4,,3,3,,,,Pauper,0,,,Shrine,5,0.048,,,,,,Green,2049,19.694,,Red/White/Black,21,1.204,0.201845444059977,,13,1,0.010,,15,0,0.0000,0.0000,,,
40K,Lychguard,Creature,Artifact,Rare,Black,,2B,3,,2,3,,,,Prueba,3,,,Siege,21,0.202,,,,,,,,112.870,,Green/Blue/Red,19,1.089,0.182622068435217,,14,0,0.000,,,,,,,,
40K,Mandate of Abaddon,Sorcery,,Rare,Black,,3B,4,,,,,,,,,,,Snow,14,0.135,,,,,,,,,,White/Black/Green,19,1.089,0.182622068435217,,15,0,0.000,,,,,,,,
40K,"Mortarion, Daemon Primarch",Creature,,Rare,Black,,5B,6,Legendary,5,6,,,,,,,,Trap,15,0.144,,,,,,,,,,Blue/Red/White,20,1.147,0.192233756247597,,16,0,0.000,,,,,,,,
40K,Necron Deathmark,Creature,Artifact,Rare,Black,,3BB,5,,5,3,,,,,,,,Vehicle,40,0.384,,,,,,,,,,Black/Green/Blue,21,1.204,0.201845444059977,,17,0,0.000,,,,,,,,
40K,Nurgle's Conscription,Instant,,Rare,Black,,4B,5,,,,,,,,,,,World,4,0.038,,,,,,,,,,WUBR,2,0.115,0.01922337562476,,18,0,0.000,,,,,,,,
40K,Nurgle's Rot,Enchantment,Aura,Uncommon,Black,,B,1,,,,,,,FOIL,908,,,Legendary,579,5.565,,,,,,,,,,GWUB,1,0.057,0.00961168781238,,19,0,0.000,,,,,,,,
40K,Plague Drone ,Creature,,Rare,Black,,3B,4,,3,3,,,,ETCHED,11,,,,,,,,,,,,,,,RGWU,0,0.000,0,,20,0,0.000,,,,,,,,
40K,Poxwalkers ,Creature,,Rare,Black,,2B,3,,3,1,,,,GOLD,3,,,,,,,,,,,,,,,WBRG,1,0.057,0.00961168781238,,,,,,,,,,,,
40K,Primaris Eliminator ,Creature,,Rare,Black,,4B,5,,3,2,,,,,,,,,,,,,,,,,,,,UBRG,2,0.115,0.01922337562476,,,,,,,,,,,,
40K,Royal Warden,Creature,,Rare,Black,,3BB,5,,3,2,,,,FUN,188,,,,,,,,,,,,,,,WUBRG,21,1.204,0.201845444059977,,,,,,,,,,,,
40K,Sanguinary Priest,Creature,,Uncommon,Black,,3B,4,,2,4,,,,BAB,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Shard of the Nightbringer,Creature,,Rare,Black,,5BBB,8,,8,8,,,,PRE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Shard of the Void Dragon,Creature,,Rare,Black,,4BBB,7,,7,7,,,,FTV,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,"Szarekh, the Silent King ",Creature,Artifact,Mythic,Black,,1BBB,4,Legendary,3,4,,FOIL,,JUDGE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tallyman of Nurgle ,Creature,,Rare,Black,,2B,3,,2,3,,,,PACK,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
